Position, Error, Repetition
-4.110474, -0.0005187988 , 3.544586 0.1000157 1
-4.30188, -0.0004882813 , 3.308422 0.04885394 1
-4.402344, -0.0004882813 , 3.173264 0.1220843 1
-4.565338, -0.0004882813 , 2.933168 0.1118994 1
-4.686035, -0.00177002 , 2.735805 0.1772967 1
-4.900909, -0.01046753 , 2.32854 0.03074965 1
-4.971527, -0.0138855 , 2.173744 0.1330951 2
-5.098236, -0.01394653 , 1.85839 0.03619327 2
-5.033752, -0.01394653 , 2.025943 0.04353658 2
-4.909332, -0.01123047 , 2.310756 0.03678307 2
-4.718567, -0.003173828 , 2.679361 0.1137528 2
-4.647614, 0.004486084 , 2.801023 0.05919515 2
-4.41922, 0.1304932 , 3.152632 0.1622469 2
-4.315918, 0.181488 , 3.29282 0.1848 2
-4.115692, -0.0369873 , 3.536509 0.09903898 2
-3.889221, -0.02270508 , 3.786489 0.2058275 2
-3.823883, -0.02114868 , 3.852895 0.08557554 2
-3.605469, -0.0328064 , 4.058935 0.1781957 2
-3.519073, -0.04129028 , 4.134413 0.09715049 2
-3.437256, -0.04260254 , 4.203161 0.05774485 2
-3.293121, -0.04403687 , 4.317966 0.04972008 2
-3.179047, -0.04406738 , 4.403504 0.0641683 2
-3.033478, -0.04943848 , 4.505887 0.06876518 2
-2.850769, -0.04949951 , 4.62504 0.05171657 2
-2.68103, -0.06027222 , 4.726358 0.0646428 2
-2.584198, -0.06298828 , 4.780655 0.08176211 2
-2.38327, -0.04458618 , 4.886244 0.04956864 2
-2.212128, -0.0213623 , 4.968316 0.04426982 2
-2.041229, -0.01629639 , 5.042555 0.06502526 2
-1.867157, -0.01638794 , 5.111055 0.08997749 2
-1.769897, -0.02029419 , 5.146311 0.03684899 2
-1.647125, -0.02182007 , 5.187963 0.02508491 2
-1.479858, -0.02056885 , 5.239684 0.02878995 2
-1.387207, -0.02059937 , 5.265845 0.0448225 2
-1.191925, -0.02069092 , 5.315293 0.02270406 2
-1.011017, -0.02078247 , 5.354398 0.04453067 2
-0.8706055, -0.02087402 , 5.380385 0.03605427 2
-0.7611084, -0.01876831 , 5.398143 0.02188825 2
-0.5708008, -0.01568604 , 5.423594 0.03334007 2
